SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
C/C(=N\Nc1ccccc1)c1sc(-c2cc(Cl)nc(Oc3ccc(Cl)cc3)c2)nc1C;0.09;7.45;469.4;6;59.4;0.96;0;0;0;0;0;0;0.9448;0.5768;0.8618;0.9781;0.9995;0.9846;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.109066667
O=C1C(Cl)=C(Oc2ccccc2)C(=O)c2ccccc21;0;3.6;284.7;2;43.37;3.2;0;0;0;0;0;0;0.9828;0.9602;0.9928;0.9534;0.9974;0.8906;NA;NA;NA;NA;NA;NA;0.5;yellow;0.037133333
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;0.74;3.95;390.52;6;72.83;1.71;1;0;0;0;0;0;0.8155;0.5724;0.9994;0.9991;0.9982;0.9348;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.2186
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21;0.29;4.63;411.47;8;82.69;1.17;0;0;0;0;0;0;0.8909;0.6843;0.9947;0.9432;0.9973;0.8776;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.102
CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO;1;0.5;289.42;9;84.16;10537.89;0;0;0;0;0;0;0.625;0.7878;0.9997;0.9999;0.9955;0.9566;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.105916667
C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21;0.38;-1.37;290.28;2;126.65;911.65;0;0;0;0;0;0;0.9647;0.9573;1;0.9999;0.9795;0.9195;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.02985
C=C1C(=O)OC(CCCCCCCC)C1C(=O)O;0.71;2.92;254.33;8;63.6;27.15;0;0;0;0;0;0;0.8651;0.9398;0.9994;0.9998;0.9985;0.9794;NA;NA;NA;NA;NA;NA;0.25;yellow;0.036333333
Nc1nccc2c1ncn2C1C=C(CO)C(O)C1O;0.33;-0.79;262.27;2;117.42;5395.5;0;0;0;0;0;0;0.9702;0.9827;0.9986;1;0.9945;0.8761;NA;NA;NA;NA;NA;NA;0;green;0.02965
COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1;0.56;2.62;275.35;4;47.56;68.28;0;0;0;0;0;0;0.8567;0.9651;0.9821;0.9942;0.9924;0.9639;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.040933333
O=c1c(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;0.25;0.1;434.35;4;190.28;30.34;0;0;0;0;0;1;0.9295;0.8973;0.9978;0.9996;0.9962;0.8534;NA;NA;NA;NA;NA;NA;0.5;yellow;0.172166667
CCCC(=O)O[C@H]1CN2CC[C@H](O)[C@@H]2[C@@H](O)[C@@H]1O;0.92;-1.13;259.3;3;90.23;16351.67;0;0;0;0;0;0;0.866;0.9654;0.9999;0.9998;0.998;0.9756;NA;NA;NA;NA;NA;NA;0;green;0.03255
O=C1C(=Cc2ccc(O)c(O)c2)C(=O)c2ccccc21;0;2.56;266.25;1;74.6;0.41;0;0;0;0;0;0;0.9874;0.8883;0.8491;0.9948;0.9455;0.6613;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.112266667
